course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,profit,published_date,published_time,year,month,day,Clean_title
1070976,"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",https://www.udemy.com/complete-e-commerce-course-javaspringhibernate-and-mysql/,True,195,1371,165,83,All Levels,20 hours,2017-01-16T23:50:02Z,Web Development,267345,2017-01-16,23:50:02Z,2017,1,16,complete ecommerce course  javaspringhibernate mysql
939962,"Learn SVG Animation - With HTML, CSS & Javascript",https://www.udemy.com/learn-svg-animation/,True,65,12953,680,22,All Levels,1.5 hours,2016-09-12T18:51:32Z,Web Development,841945,2016-09-12,18:51:32Z,2016,9,12,learn svg animation  html css  javascript
874960,"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",https://www.udemy.com/build-a-responsive-website-with-html5-css3-and-bootstrap-4/,True,20,5125,395,53,All Levels,7 hours,2016-08-09T17:53:33Z,Web Development,102500,2016-08-09,17:53:33Z,2016,8,9,build responsive website html5 css3 bootstrap 4
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,True,75,43285,525,24,All Levels,4 hours,2013-01-03T00:55:31Z,Web Development,3246375,2013-01-03,00:55:31Z,2013,1,3,learn web designing  html5css3 essentials 4hours
24334,CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,True,20,25864,188,32,All Levels,5 hours,2012-10-31T16:39:49Z,Web Development,517280,2012-10-31,16:39:49Z,2012,10,31,css development with css3
997814,Angular 2 & TypeScript Beginner Web Development,https://www.udemy.com/angular2/,True,200,5211,414,133,Beginner Level,19.5 hours,2016-11-14T00:44:48Z,Web Development,1042200,2016-11-14,00:44:48Z,2016,11,14,angular 2  typescript beginner web development
641868,The Docker for DevOps course: From development to production,https://www.udemy.com/the-docker-for-devops-course-from-development-to-production/,True,25,8234,1111,110,All Levels,7.5 hours,2015-11-13T17:30:34Z,Web Development,205850,2015-11-13,17:30:34Z,2015,11,13,docker devops course development production
1042110,"Beginner Full Stack Web Development: HTML, CSS, React & Node",https://www.udemy.com/ultimate-web/,True,200,2687,331,138,Beginner Level,25.5 hours,2017-03-31T05:35:11Z,Web Development,537400,2017-03-31,05:35:11Z,2017,3,31,beginner stack web development html css react  node
883002,Learn Angular 2 Development By Building 12 Apps,https://www.udemy.com/learn-angular-2-development-by-building-10-apps/,True,50,5143,941,80,Intermediate Level,12 hours,2016-07-01T21:20:38Z,Web Development,257150,2016-07-01,21:20:38Z,2016,7,1,learn angular 2 development building 12 apps
1128050,"Server API Development in Swift, Kitura, & Bluemix",https://www.udemy.com/swift-kitura/,True,200,1827,129,66,Beginner Level,20.5 hours,2017-03-08T23:09:32Z,Web Development,365400,2017-03-08,23:09:32Z,2017,3,8,server api development swift kitura  bluemix
1218130,React VR - Creating Virtual Reality Apps,https://www.udemy.com/react-vr/,True,80,5026,72,43,All Levels,3 hours,2017-05-17T20:36:49Z,Web Development,402080,2017-05-17,20:36:49Z,2017,5,17,react vr  creating virtual reality apps
1123098,RxJs & Reactive Programming Angular Masterclass - Angular 4,https://www.udemy.com/rxjs-reactive-angular-course/,True,150,1301,179,80,All Levels,7.5 hours,2017-04-11T18:48:57Z,Web Development,195150,2017-04-11,18:48:57Z,2017,4,11,rxjs  reactive programming angular masterclass  angular 4
47963,"Coding for Entrepreneurs: Learn Python, Django, and More.",https://www.udemy.com/coding-for-entrepreneurs/,True,195,23412,799,251,All Levels,45 hours,2013-04-08T00:46:14Z,Web Development,4565340,2013-04-08,00:46:14Z,2013,4,8,coding entrepreneurs learn python django more
671552,React and Flux Web Development for Beginners,https://www.udemy.com/react-flux/,True,100,8691,836,63,Beginner Level,11 hours,2015-12-15T20:30:28Z,Web Development,869100,2015-12-15,20:30:28Z,2015,12,15,react flux web development beginners
481002,Learn Nodejs by building 12 projects,https://www.udemy.com/learn-nodejs-by-building-10-projects/,True,50,10150,997,90,All Levels,16 hours,2015-04-22T00:22:43Z,Web Development,507500,2015-04-22,00:22:43Z,2015,4,22,learn nodejs building 12 projects
98066,Complete Website & CMS in PHP & MySQL From Scratch!,https://www.udemy.com/cms-admin-panel-in-php-mysql/,True,20,3357,82,48,All Levels,12.5 hours,2014-04-18T09:51:00Z,Web Development,67140,2014-04-18,09:51:00Z,2014,4,18,complete website  cms php  mysql scratch
910838,The Complete Web Development Tutorial Using React and Redux,https://www.udemy.com/the-complete-web-development-tutorial-using-react-and-redux/,True,40,796,43,29,Intermediate Level,4 hours,2016-07-25T17:16:45Z,Web Development,31840,2016-07-25,17:16:45Z,2016,7,25,complete web development tutorial react redux
50587,HTML & CSS From Scratch in 30 Days,https://www.udemy.com/html5-css3-responsive/,True,75,2697,64,82,Beginner Level,11.5 hours,2013-04-22T18:19:38Z,Web Development,202275,2013-04-22,18:19:38Z,2013,4,22,html  css scratch 30 days
959200,JavaScript For Absolute Beginners - Level One,https://www.udemy.com/javascript-for-absolute-beginners-level-one/,True,65,713,80,8,All Levels,1.5 hours,2016-09-19T21:06:29Z,Web Development,46345,2016-09-19,21:06:29Z,2016,9,19,javascript absolute beginners  level
904076,"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",https://www.udemy.com/learn-rails/,True,200,1849,21,83,All Levels,3 hours,2016-08-23T20:46:39Z,Web Development,369800,2016-08-23,20:46:39Z,2016,8,23,learn rails quickly code style launch 4 web apps
842728,Getting Started with NodeJS for Beginners,https://www.udemy.com/getting-started-with-nodejs-for-beginners/,True,195,1645,75,12,All Levels,1 hour,2016-05-23T21:14:50Z,Web Development,320775,2016-05-23,21:14:50Z,2016,5,23,getting started nodejs beginners
314462,Quickstart AngularJS,https://www.udemy.com/quickstart-angularjs/,False,0,64128,4047,17,Beginner Level,1.5 hours,2014-11-22T12:42:22Z,Web Development,0,2014-11-22,12:42:22Z,2014,11,22,quickstart angularjs
783748,Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML,https://www.udemy.com/css-with-html/,True,20,2160,16,28,All Levels,4 hours,2016-03-10T17:20:41Z,Web Development,43200,2016-03-10,17:20:41Z,2016,3,10,bytesizedchunks cascading style sheets css html
936504,The Complete HTML5 and CSS3 Course,https://www.udemy.com/the-complete-html5-and-css3-course/,True,40,1548,30,126,All Levels,15 hours,2016-08-23T16:44:47Z,Web Development,61920,2016-08-23,16:44:47Z,2016,8,23,complete html5 css3 course
380092,HTML & CSS for beginners: Build 3 projects from scratch,https://www.udemy.com/learn-html-css-by-building-3-real-projects/,True,40,2472,139,31,Beginner Level,4 hours,2015-01-22T06:47:09Z,Web Development,98880,2015-01-22,06:47:09Z,2015,1,22,html  css beginners build 3 projects scratch
637974,Master ExpressJS to Build Web Apps with NodeJS&JavaScript,https://www.udemy.com/expressjs/,True,50,2643,56,24,All Levels,3.5 hours,2016-01-07T02:04:55Z,Web Development,132150,2016-01-07,02:04:55Z,2016,1,7,master expressjs build web apps nodejsjavascript
749560,HTML5 CSS3 JQUERY Single Page Website Project from Scratch,https://www.udemy.com/html5-css3-jquery-single-page-website-project-from-scratch/,True,120,1678,34,32,All Levels,2.5 hours,2016-02-03T19:22:22Z,Web Development,201360,2016-02-03,19:22:22Z,2016,2,3,html5 css3 jquery single page website project scratch
200854,HTML and CSS Crash Course for Beginners,https://www.udemy.com/html-and-css-crash-course-for-beginners/,True,50,4123,46,31,Beginner Level,4.5 hours,2014-05-30T22:23:01Z,Web Development,206150,2014-05-30,22:23:01Z,2014,5,30,html css crash course beginners
470288,EMMET Faster HTML & CSS workflow - Best Tool For Developers ,https://www.udemy.com/emmet-start-coding-html-and-css-fast-and-easy/,False,0,26697,1097,20,All Levels,1 hour,2015-04-09T16:36:06Z,Web Development,0,2015-04-09,16:36:06Z,2015,4,9,emmet faster html  css workflow  best tool developers
412952,AngularJS For ASP.NET MVC Developers,https://www.udemy.com/angularjs-for-aspnet-mvc-developers/,True,50,3011,57,10,Intermediate Level,1 hour,2015-02-23T15:11:20Z,Web Development,150550,2015-02-23,15:11:20Z,2015,2,23,angularjs aspnet mvc developers
1033944,Serverless Workflow Management with AWS Step Functions,https://www.udemy.com/aws-step-functions/,False,0,8768,173,8,Intermediate Level,1 hour,2016-12-09T03:39:22Z,Web Development,0,2016-12-09,03:39:22Z,2016,12,9,serverless workflow management aws step functions
1171966,The Complete PHP MySQL Professional Course with 5 Projects,https://www.udemy.com/the-complete-php-mysql-professional-course/,True,200,16158,159,125,All Levels,19.5 hours,2017-06-07T05:58:36Z,Web Development,3231600,2017-06-07,05:58:36Z,2017,6,7,complete php mysql professional course 5 projects
833398,Angular Masterclass,https://www.udemy.com/angular-2-fundamentals-with-typescript-for-pro-developers-systemjs/,True,150,4057,359,99,All Levels,6.5 hours,2016-05-09T22:29:32Z,Web Development,608550,2016-05-09,22:29:32Z,2016,5,9,angular masterclass
991630,Try Django 1.10 | Create a URL Shortening Service,https://www.udemy.com/try-django-1-10/,True,50,9607,78,40,All Levels,5.5 hours,2016-10-24T18:14:43Z,Web Development,480350,2016-10-24,18:14:43Z,2016,10,24,try django 110  create url shortening service
303514,Projects in CSS,https://www.udemy.com/projects-in-css/,True,60,4689,216,54,All Levels,10 hours,2014-09-23T06:13:59Z,Web Development,281340,2014-09-23,06:13:59Z,2014,9,23,projects css
134144,Ruby on Rails: Training and Skills to Build Web Applications,https://www.udemy.com/the-startups-guide-to-web-development-with-ruby-on-rails/,True,95,9375,219,43,All Levels,7 hours,2014-01-10T18:41:55Z,Web Development,890625,2014-01-10,18:41:55Z,2014,1,10,ruby rails training skills build web applications
1115222,Learn and Understand React,https://www.udemy.com/learn-and-understand-react-and-redux-i/,True,30,4848,105,123,All Levels,16.5 hours,2017-03-23T16:20:05Z,Web Development,145440,2017-03-23,16:20:05Z,2017,3,23,learn understand react
94430,Learn Javascript & JQuery From Scratch,https://www.udemy.com/learn-javascript-jquery-from-scratch/,True,30,84897,2685,10,All Levels,2 hours,2013-10-10T15:19:29Z,Web Development,2546910,2013-10-10,15:19:29Z,2013,10,10,learn javascript  jquery scratch
